id,source_wp_post_id,slug,title,artist_name,artist_slug,isrc,duration,label_name,label_slug,release_title,release_slug,release_date,artwork_url,preview_url,platform_links,content_html,excerpt_html,wp_status,editable_payload,immutable_payload,seo_payload,updated_at
4eee2ce4-d088-8c21-1867-5233ac1bdd43,null,toka-dm,Toka DM,MAD G,mad-g,US6R22511768,null,Mad Records,mad-records,null,null,2025-12-19,https://i.scdn.co/image/ab67616d0000b273e7ee024a76a17d07a3c653e3,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":199,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":199,""isrc"":""US6R22511768"",""title"":""Toka DM"",""created_at"":null,""label_name"":""Mad Records"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:35"",""artist_name"":""MAD G"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b273e7ee024a76a17d07a3c653e3"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":175459,""release_date"":""2025-12-19"",""normalized_key"":""isrc:US6R22511768"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:35+00
a530ffec-9083-f38d-73a5-995fbe574b87,null,compare,Compare,"Blinky Bill, GoldLink",blinky-bill,null,null,null,untitled,null,null,null,https://i.scdn.co/image/ab67616d0000b2737efd22f21871dadb068f4729,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":729,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-02 20:51:16"",""primary_label_id"":null}","{""id"":729,""isrc"":"""",""title"":""Compare"",""created_at"":null,""label_name"":"""",""release_id"":""2026-04-02 20:51:16"",""updated_at"":""2026-04-02 20:51:16"",""artist_name"":""Blinky Bill, GoldLink"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b2737efd22f21871dadb068f4729"",""duration_ms"":null,""preview_url"":"""",""last_seen_at"":null,""release_date"":"""",""normalized_key"":""compare||blinky bill, goldlink"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":""Blinky Bill, GoldLink"",""preview_duration_ms"":"""",""field_provenance_json"":0.65,""preview_last_checked_at"":0}",{},2026-04-02 20:51:16+00
f93d105b-38a1-691c-4a59-1e7dc4d57f6c,null,run-nairobi,Run Nairobi,HITMAN KAHT,hitman-kaht,GXJBJ2564215,null,Bridge Records Entertainment.,bridge-records-entertainment,null,null,2025-12-05,https://i.scdn.co/image/ab67616d0000b2737d25e7a854fce2dd27ec4bb4,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":211,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":211,""isrc"":""GXJBJ2564215"",""title"":""Run Nairobi"",""created_at"":null,""label_name"":""Bridge Records Entertainment."",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:37"",""artist_name"":""HITMAN KAHT"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b2737d25e7a854fce2dd27ec4bb4"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":223014,""release_date"":""2025-12-05"",""normalized_key"":""isrc:GXJBJ2564215"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:37+00
2da66f26-8345-1f99-fae9-663faa5b1c79,null,i-hated-your-relationship,I HATED YOUR RELATIONSHIP,Caleb Awiti,caleb-awiti,QMFMF2540440,null,Caleb Awiti,caleb-awiti,null,null,2025-11-07,https://i.scdn.co/image/ab67616d0000b273585483fcf482b6a0c026d222,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":217,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":217,""isrc"":""QMFMF2540440"",""title"":""I HATED YOUR RELATIONSHIP"",""created_at"":null,""label_name"":""Caleb Awiti"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:37"",""artist_name"":""Caleb Awiti"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b273585483fcf482b6a0c026d222"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":102584,""release_date"":""2025-11-07"",""normalized_key"":""isrc:QMFMF2540440"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:37+00
96fb80b2-31bb-4e78-c619-288f48e65c1a,null,only-you,Only You,Tuku Kantu,tuku-kantu,QZTVM2525291,null,Deep Core Records.,deep-core-records,null,null,2025-11-12,https://i.scdn.co/image/ab67616d0000b2734e149b89ff92490a41d3b533,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":230,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":230,""isrc"":""QZTVM2525291"",""title"":""Only You"",""created_at"":null,""label_name"":""Deep Core Records."",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:44"",""artist_name"":""Tuku Kantu"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b2734e149b89ff92490a41d3b533"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":170322,""release_date"":""2025-11-12"",""normalized_key"":""isrc:QZTVM2525291"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:44+00
f0b3565f-2dbd-b3be-427d-4a9acbcdaefc,null,keletu,Keletu,Shad Mziki,shad-mziki,QZTVM2566712,null,Shad Mziki,shad-mziki,null,null,2025-11-21,https://i.scdn.co/image/ab67616d0000b2732a5e0f244af73c4c39544a82,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":231,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":231,""isrc"":""QZTVM2566712"",""title"":""Keletu"",""created_at"":null,""label_name"":""Shad Mziki"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:44"",""artist_name"":""Shad Mziki"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b2732a5e0f244af73c4c39544a82"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":334434,""release_date"":""2025-11-21"",""normalized_key"":""isrc:QZTVM2566712"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:44+00
1cdb9d68-12b1-a685-91f6-6fdf05fc755b,null,fyeka,Fyeka,ETHIC,ethic,null,null,null,untitled,null,null,null,https://i.scdn.co/image/ab67616d0000b2736f67def00ba1273666c6f74d,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":1285,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-02 20:52:20"",""primary_label_id"":null}","{""id"":1285,""isrc"":"""",""title"":""Fyeka"",""created_at"":null,""label_name"":"""",""release_id"":""2026-04-02 20:52:20"",""updated_at"":""2026-04-02 20:52:20"",""artist_name"":""ETHIC"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b2736f67def00ba1273666c6f74d"",""duration_ms"":null,""preview_url"":"""",""last_seen_at"":null,""release_date"":"""",""normalized_key"":""fyeka||ethic"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":""ETHIC"",""preview_duration_ms"":"""",""field_provenance_json"":0.65,""preview_last_checked_at"":0}",{},2026-04-02 20:52:20+00
500eaec0-0747-cbed-2590-785ae77dceb3,null,kelele,Kelele,Breeder LW,breeder-lw,QZTVM2576890,null,BREEDER LW,breeder-lw,null,null,2025-10-30,https://i.scdn.co/image/ab67616d0000b27343a7e79c70cb503bce5effb3,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":232,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":232,""isrc"":""QZTVM2576890"",""title"":""Kelele"",""created_at"":null,""label_name"":""BREEDER LW"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:44"",""artist_name"":""Breeder LW"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b27343a7e79c70cb503bce5effb3"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":264827,""release_date"":""2025-10-30"",""normalized_key"":""isrc:QZTVM2576890"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:44+00
5e57644f-48ae-b78f-46d2-8577f37c6482,null,weyuat,Weyuat,Khaligraph Jones,khaligraph-jones,QZW9K2524279,null,Blu Ink Corp Presents,blu-ink-corp-presents,null,null,2025-11-07,https://i.scdn.co/image/ab67616d0000b273b9425b9d78aa3d5261ed2444,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":233,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":233,""isrc"":""QZW9K2524279"",""title"":""Weyuat"",""created_at"":null,""label_name"":""Blu Ink Corp Presents"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:45"",""artist_name"":""Khaligraph Jones"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b273b9425b9d78aa3d5261ed2444"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":201064,""release_date"":""2025-11-07"",""normalized_key"":""isrc:QZW9K2524279"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:45+00
9c47f344-c9e8-9509-534b-9c1e75e2d6a8,null,tumewaka-feat-watendawili,Tumewaka (feat. Watendawili),"Arrow Bwoy, Watendawili",arrow-bwoy,ZA40S2501734,null,Ziiki Media,ziiki-media,null,null,2025-12-05,https://i.scdn.co/image/ab67616d0000b273de4792efb270e68b3e10c854,null,"{""preview_provider"":null,""preview_available"":null}",null,null,publish,"{""old_id"":239,""old_table"":""wp_wkcharts_tracks"",""release_id"":""2026-04-04 19:46:29"",""primary_label_id"":null}","{""id"":239,""isrc"":""ZA40S2501734"",""title"":""Tumewaka (feat. Watendawili)"",""created_at"":null,""label_name"":""Ziiki Media"",""release_id"":""2026-04-04 19:46:29"",""updated_at"":""2026-03-28 21:00:49"",""artist_name"":""Arrow Bwoy, Watendawili"",""artwork_url"":""https://i.scdn.co/image/ab67616d0000b273de4792efb270e68b3e10c854"",""duration_ms"":null,""preview_url"":null,""last_seen_at"":209585,""release_date"":""2025-12-05"",""normalized_key"":""isrc:ZA40S2501734"",""preview_provider"":null,""primary_label_id"":null,""preview_available"":null,""manual_preview_url"":null,""display_artist_line"":null,""preview_duration_ms"":null,""field_provenance_json"":0.7,""preview_last_checked_at"":0}",{},2026-03-28 21:00:49+00
