id,source_wp_post_id,slug,name,country,city,logo_url,website,content_html,excerpt_html,wp_status,editable_payload,immutable_payload,seo_payload,updated_at
85e989e8-c107-da5f-0c92-9707bb2a8b83,null,sudah-nation,Sudah Nation,null,null,null,null,null,null,publish,"{""old_id"":1,""old_table"":""wp_wkcharts_labels""}","{""id"":1,""name"":""Sudah Nation"",""slug"":""sudah-nation"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""sudah nation""}",{},2026-04-04 08:23:59+00
3c856f0a-2bb9-fbfb-b9d7-d26e0c882240,null,3683177-records-dk2,3683177 Records DK2,null,null,null,null,null,null,publish,"{""old_id"":2,""old_table"":""wp_wkcharts_labels""}","{""id"":2,""name"":""3683177 Records DK2"",""slug"":""3683177-records-dk2"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""3683177 records dk2""}",{},2026-04-04 08:23:59+00
94ac7666-e126-598c-fb60-485425f59e2c,null,kethan,Kethan,null,null,null,null,null,null,publish,"{""old_id"":3,""old_table"":""wp_wkcharts_labels""}","{""id"":3,""name"":""Kethan"",""slug"":""kethan"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""kethan""}",{},2026-04-04 08:23:59+00
af34a99f-8409-80bd-2949-e1bddb10baf0,null,independent,Independent,null,null,null,null,null,null,publish,"{""old_id"":4,""old_table"":""wp_wkcharts_labels""}","{""id"":4,""name"":""Independent"",""slug"":""independent"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""independent""}",{},2026-04-04 08:23:59+00
30d16c31-ca3a-b624-bacc-1a59f1cd7c59,null,digitone-music-group,Digitone Music group,null,null,null,null,null,null,publish,"{""old_id"":5,""old_table"":""wp_wkcharts_labels""}","{""id"":5,""name"":""Digitone Music group"",""slug"":""digitone-music-group"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""digitone music group""}",{},2026-04-04 08:23:59+00
e581c374-e5e4-71a4-710d-1a9ce901c4b4,null,tanasha-donna,Tanasha Donna,null,null,null,null,null,null,publish,"{""old_id"":6,""old_table"":""wp_wkcharts_labels""}","{""id"":6,""name"":""Tanasha Donna"",""slug"":""tanasha-donna"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""tanasha donna""}",{},2026-04-04 08:23:59+00
dad1aa15-73b2-c873-9ba5-a76fe6ef75c0,null,sol-generation-publishing-limited,Sol Generation Publishing Limited,null,null,null,null,null,null,publish,"{""old_id"":7,""old_table"":""wp_wkcharts_labels""}","{""id"":7,""name"":""Sol Generation Publishing Limited"",""slug"":""sol-generation-publishing-limited"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""sol generation publishing limited""}",{},2026-04-04 08:23:59+00
9ba154e5-7162-970e-6025-01984477bebc,null,ahadi-records,AHADI RECORDS,null,null,null,null,null,null,publish,"{""old_id"":8,""old_table"":""wp_wkcharts_labels""}","{""id"":8,""name"":""AHADI RECORDS"",""slug"":""ahadi-records"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""ahadi records""}",{},2026-04-04 08:23:59+00
5300afc1-dab5-97d4-fabd-c583739e7592,null,ewoton-music,Ewoton Music,null,null,null,null,null,null,publish,"{""old_id"":9,""old_table"":""wp_wkcharts_labels""}","{""id"":9,""name"":""Ewoton Music"",""slug"":""ewoton-music"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""ewoton music""}",{},2026-04-04 08:23:59+00
73916e4e-66f2-2530-359c-d182393cf57e,null,atalia-records,Atalia Records,null,null,null,null,null,null,publish,"{""old_id"":10,""old_table"":""wp_wkcharts_labels""}","{""id"":10,""name"":""Atalia Records"",""slug"":""atalia-records"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""atalia records""}",{},2026-04-04 08:23:59+00
48457b1d-4162-c45d-66ba-3225f460bf33,null,5382939-records-dk,5382939 Records DK,null,null,null,null,null,null,publish,"{""old_id"":11,""old_table"":""wp_wkcharts_labels""}","{""id"":11,""name"":""5382939 Records DK"",""slug"":""5382939-records-dk"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""5382939 records dk""}",{},2026-04-04 08:23:59+00
3d0817e5-7b40-1675-f10b-376ebeed545b,null,davy-waweru-music,Davy Waweru Music.,null,null,null,null,null,null,publish,"{""old_id"":12,""old_table"":""wp_wkcharts_labels""}","{""id"":12,""name"":""Davy Waweru Music."",""slug"":""davy-waweru-music"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""davy waweru music""}",{},2026-04-04 08:23:59+00
a4fb7405-d196-fd01-189b-8b9755f5f03a,null,zaituni-music,Zaituni Music,null,null,null,null,null,null,publish,"{""old_id"":13,""old_table"":""wp_wkcharts_labels""}","{""id"":13,""name"":""Zaituni Music"",""slug"":""zaituni-music"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""zaituni music""}",{},2026-04-04 08:23:59+00
47983856-e8ad-9faa-4e4e-9d010a45025c,null,platoon,Platoon,null,null,null,null,null,null,publish,"{""old_id"":14,""old_table"":""wp_wkcharts_labels""}","{""id"":14,""name"":""Platoon"",""slug"":""platoon"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""platoon""}",{},2026-04-04 08:23:59+00
161d29ec-ee04-66d0-0d24-cb8a7c525f80,null,maya-amolo,Maya Amolo,null,null,null,null,null,null,publish,"{""old_id"":15,""old_table"":""wp_wkcharts_labels""}","{""id"":15,""name"":""Maya Amolo"",""slug"":""maya-amolo"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""maya amolo""}",{},2026-04-04 08:23:59+00
46766122-19f6-bf45-08ce-75cfc73f0c99,null,palagroove,PALAGROOVE,null,null,null,null,null,null,publish,"{""old_id"":16,""old_table"":""wp_wkcharts_labels""}","{""id"":16,""name"":""PALAGROOVE"",""slug"":""palagroove"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""palagroove""}",{},2026-04-04 08:23:59+00
8536d44e-00fd-8538-ae76-f1bffd94d073,null,colossal-dream-entertainment,COLOSSAL DREAM ENTERTAINMENT,null,null,null,null,null,null,publish,"{""old_id"":17,""old_table"":""wp_wkcharts_labels""}","{""id"":17,""name"":""COLOSSAL DREAM ENTERTAINMENT"",""slug"":""colossal-dream-entertainment"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""colossal dream entertainment""}",{},2026-04-04 08:23:59+00
df21b18d-65c6-4266-e471-23e0fb2359eb,null,universal-music-kenya-limited,Universal Music Kenya Limited,null,null,null,null,null,null,publish,"{""old_id"":18,""old_table"":""wp_wkcharts_labels""}","{""id"":18,""name"":""Universal Music Kenya Limited"",""slug"":""universal-music-kenya-limited"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""universal music kenya limited""}",{},2026-04-04 08:23:59+00
42bfeffb-f885-77d1-2e7c-0314819b351c,null,le-loup-studios,Le Loup Studios,null,null,null,null,null,null,publish,"{""old_id"":19,""old_table"":""wp_wkcharts_labels""}","{""id"":19,""name"":""Le Loup Studios"",""slug"":""le-loup-studios"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""le loup studios""}",{},2026-04-04 08:23:59+00
fae38510-db49-13a5-3551-f3c275ddc93f,null,ochiko,Ochiko,null,null,null,null,null,null,publish,"{""old_id"":20,""old_table"":""wp_wkcharts_labels""}","{""id"":20,""name"":""Ochiko"",""slug"":""ochiko"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""ochiko""}",{},2026-04-04 08:23:59+00
db402c09-b14f-9fa3-446b-97fbac10ce7d,null,me-n-my-cousin-entertainment,Me N My Cousin Entertainment,null,null,null,null,null,null,publish,"{""old_id"":21,""old_table"":""wp_wkcharts_labels""}","{""id"":21,""name"":""Me N My Cousin Entertainment"",""slug"":""me-n-my-cousin-entertainment"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""me n my cousin entertainment""}",{},2026-04-04 08:23:59+00
79f01fd9-62c1-e8f4-3512-d04987979164,null,colorsxstudios,COLORSxSTUDIOS,null,null,null,null,null,null,publish,"{""old_id"":22,""old_table"":""wp_wkcharts_labels""}","{""id"":22,""name"":""COLORSxSTUDIOS"",""slug"":""colorsxstudios"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""colorsxstudios""}",{},2026-04-04 08:23:59+00
c7845d93-ee15-648b-499d-43c40f2f7d44,null,bmg-rights-management-us-llc,BMG Rights Management (US) LLC,null,null,null,null,null,null,publish,"{""old_id"":23,""old_table"":""wp_wkcharts_labels""}","{""id"":23,""name"":""BMG Rights Management (US) LLC"",""slug"":""bmg-rights-management-us-llc"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""bmg rights management us llc""}",{},2026-04-04 08:23:59+00
99a49de0-822b-e6d5-d005-d7b8f5ce21c4,null,flying-radio,Flying Radio,null,null,null,null,null,null,publish,"{""old_id"":24,""old_table"":""wp_wkcharts_labels""}","{""id"":24,""name"":""Flying Radio"",""slug"":""flying-radio"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""flying radio""}",{},2026-04-04 08:23:59+00
dba2674d-6a7f-bac8-ffb6-98c76fc605fa,null,big-b-ent,BIG B ENT,null,null,null,null,null,null,publish,"{""old_id"":25,""old_table"":""wp_wkcharts_labels""}","{""id"":25,""name"":""BIG B ENT"",""slug"":""big-b-ent"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""big b ent""}",{},2026-04-04 08:23:59+00
92e9dfce-a815-625e-9f41-d4b8c80cd0a1,null,itsbill,it'sBill,null,null,null,null,null,null,publish,"{""old_id"":26,""old_table"":""wp_wkcharts_labels""}","{""id"":26,""name"":""it'sBill"",""slug"":""itsbill"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""it sbill""}",{},2026-04-04 08:23:59+00
10bff69d-e44b-c406-e14e-9e85dd5726b2,null,ovek-ltd,Ovek ltd,null,null,null,null,null,null,publish,"{""old_id"":27,""old_table"":""wp_wkcharts_labels""}","{""id"":27,""name"":""Ovek ltd"",""slug"":""ovek-ltd"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""ovek ltd""}",{},2026-04-04 08:23:59+00
2be8c15d-aa89-7082-2195-a159630f6e50,null,malobaby-entertainment,malobaby entertainment,null,null,null,null,null,null,publish,"{""old_id"":28,""old_table"":""wp_wkcharts_labels""}","{""id"":28,""name"":""malobaby entertainment"",""slug"":""malobaby-entertainment"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""malobaby entertainment""}",{},2026-04-04 08:23:59+00
a8ca276a-248f-cde8-cabd-baf10a320302,null,us-inc,us.inc,null,null,null,null,null,null,publish,"{""old_id"":29,""old_table"":""wp_wkcharts_labels""}","{""id"":29,""name"":""us.inc"",""slug"":""us-inc"",""notes"":null,""created_at"":""2026-04-04 08:23:59"",""updated_at"":""2026-04-04 08:23:59"",""website_url"":null,""country_iso2"":null,""normalized_name"":""us inc""}",{},2026-04-04 08:23:59+00
