id,source_wp_post_id,slug,name,description,raw_meta,wp_status,created_at,updated_at
587c8c70-284d-4d19-9f7d-a88b6b429892,205014,afro-fusion,Afro-Fusion,,"{""_wk_genre_slug"":""afro-fusion"",""_wk_genre_term_id"":""1943"",""_yoast_wpseo_title"":""Afro-Fusion | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afro-Fusion"",""_wk_genre_registry_id"":""2"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-fusion/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afro-Fusion | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afro-Fusion | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afro-Fusion | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afro-Fusion"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-fusion/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afro-Fusion | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afro-Fusion | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afro-Fusion music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
a4cf320f-6782-4936-a3fb-223e7c395092,205018,afro-urban,Afro-Urban,,"{""_wk_genre_slug"":""afro-urban"",""_wk_genre_term_id"":""1957"",""_yoast_wpseo_title"":""Afro-Urban | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afro-Urban"",""_wk_genre_registry_id"":""8"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-urban/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afro-Urban | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afro-Urban | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afro-Urban | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afro-Urban"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-urban/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afro-Urban | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afro-Urban | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afro-Urban music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
1b8e43ea-15f3-4df0-b214-0d96b5b16ca8,205026,gengetone,Gengetone,,"{""_wk_genre_slug"":""gengetone"",""_wk_genre_term_id"":""1954"",""_yoast_wpseo_title"":""Gengetone | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Gengetone"",""_wk_genre_registry_id"":""20"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/gengetone/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:07"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Gengetone | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Gengetone | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Gengetone | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Gengetone"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/gengetone/"",""_wk_generated_yoast_wpseo_twitter-title"":""Gengetone | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Gengetone | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Gengetone music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
5bf10088-14c8-4ea0-a48e-7be85036df2d,205013,3-step,3-Step,,"{""_wk_genre_slug"":""3-step"",""_wk_genre_term_id"":""1959"",""_yoast_wpseo_title"":""3-Step | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""3-Step"",""_wk_genre_registry_id"":""1"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/3-step/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""3-Step | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""3-Step | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""3-Step | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""3-Step"",""_wk_generated_yoast_wpseo_metadesc"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/3-step/"",""_wk_generated_yoast_wpseo_twitter-title"":""3-Step | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""3-Step | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route 3-Step music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
7c9d2663-5156-4657-aa1e-d46a8ef2c1ae,205015,afro-house,Afro-House,,"{""_wk_genre_slug"":""afro-house"",""_wk_genre_term_id"":""1951"",""_yoast_wpseo_title"":""Afro-House | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afro-House"",""_wk_genre_registry_id"":""3"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-house/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afro-House | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afro-House | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afro-House | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afro-House"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-house/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afro-House | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afro-House | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afro-House music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
593dce1f-0820-4a96-8c4a-1063ff961d56,205016,afro-pop,Afro-Pop,,"{""_wk_genre_slug"":""afro-pop"",""_wk_genre_term_id"":""1947"",""_yoast_wpseo_title"":""Afro-Pop | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afro-Pop"",""_wk_genre_registry_id"":""5"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-pop/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afro-Pop | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afro-Pop | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afro-Pop | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afro-Pop"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-pop/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afro-Pop | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afro-Pop | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afro-Pop music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
d23aff37-a257-427a-a6b0-8d19d920691c,205021,arbantone,Arbantone,,"{""_wk_genre_slug"":""arbantone"",""_wk_genre_term_id"":""1953"",""_yoast_wpseo_title"":""Arbantone | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Arbantone"",""_wk_genre_registry_id"":""15"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/arbantone/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Arbantone | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Arbantone | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Arbantone | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Arbantone"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/arbantone/"",""_wk_generated_yoast_wpseo_twitter-title"":""Arbantone | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Arbantone | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Arbantone music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
7a510527-5d1d-45ec-940b-126084ba7f34,205022,bongo-flava,Bongo-Flava,,"{""_wk_genre_slug"":""bongo-flava"",""_wk_genre_term_id"":""1963"",""_yoast_wpseo_title"":""Bongo-Flava | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Bongo-Flava"",""_wk_genre_registry_id"":""16"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/bongo-flava/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Bongo-Flava | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Bongo-Flava | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Bongo-Flava | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Bongo-Flava"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/bongo-flava/"",""_wk_generated_yoast_wpseo_twitter-title"":""Bongo-Flava | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Bongo-Flava | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Bongo-Flava music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
57fa9e03-24a0-4156-86da-d2d6eaea6338,205017,afro-soul,Afro-Soul,,"{""_wk_genre_slug"":""afro-soul"",""_wk_genre_term_id"":""1965"",""_yoast_wpseo_title"":""Afro-Soul | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afro-Soul"",""_wk_genre_registry_id"":""7"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-soul/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afro-Soul | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afro-Soul | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afro-Soul | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afro-Soul"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afro-soul/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afro-Soul | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afro-Soul | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afro-Soul music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
c1881ecb-be64-4dbd-8f6b-50488e4a13d9,205019,afrornb,Afrornb,,"{""_wk_genre_slug"":""afrornb"",""_wk_genre_term_id"":""1986"",""_yoast_wpseo_title"":""Afrornb | WAKILISHA"",""_wpb_vc_editor_type"":""classic"",""_yoast_wpseo_focuskw"":""Afrornb"",""_wk_seo_sitemap_ready"":""1"",""_yoast_wpseo_metadesc"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_seo_missing_fields"":"""",""_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afrornb/"",""_wk_seo_last_generated_at"":""2026-05-21 19:48:08"",""_wkcharts_special_surface"":""genre"",""_wk_seo_image_fallback_url"":"""",""_wk_seo_schema_description"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_twitter-title"":""Afrornb | WAKILISHA"",""_yoast_wpseo_opengraph-title"":""Afrornb | WAKILISHA"",""_wk_generated_yoast_wpseo_title"":""Afrornb | WAKILISHA"",""_yoast_wpseo_twitter-description"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_focuskw"":""Afrornb"",""_wk_generated_yoast_wpseo_metadesc"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_yoast_wpseo_opengraph-description"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_canonical"":""https://wakilisha.africa/genres/afrornb/"",""_wk_generated_yoast_wpseo_twitter-title"":""Afrornb | WAKILISHA"",""_wk_generated_yoast_wpseo_opengraph-title"":""Afrornb | WAKILISHA"",""_wk_generated_yoast_wpseo_twitter-description"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context."",""_wk_generated_yoast_wpseo_opengraph-description"":""Open route Afrornb music on WAKILISHA, including artists, releases, charts, videos and cultural context.""}",publish,2026-05-29 20:55:23.865376+00,2026-05-29 20:55:23.865376+00
