entity_type,id,source_wp_post_id,slug,title,country,city,image_url,hero_image_url,raw_meta,wp_status,href
artist,c173482b-dafe-c1ff-adbf-da216c7eb102,202961,moji-shortbabaa,Moji Shortbabaa,KE,null,null,null,"{""id"":330,""slug"":""moji-shortbabaa"",""gender"":"""",""post_id"":202961,""image_url"":"""",""created_at"":""2026-03-28 15:42:59"",""updated_at"":""2026-04-08 08:28:05"",""artist_type"":"""",""reviewed_at"":null,""country_iso2"":""KE"",""display_name"":""Moji Shortbabaa"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""moji shortbabaa"",""spotify_artist_id"":null}",publish,/artists/moji-shortbabaa
artist,a708e55d-961b-c0aa-391c-7432c6ecdf71,202962,moliy,MOLIY,null,null,null,null,"{""id"":331,""slug"":""moliy"",""gender"":null,""post_id"":202962,""image_url"":null,""created_at"":""2026-03-28 15:42:59"",""updated_at"":""2026-03-30 10:20:59"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""MOLIY"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""moliy"",""spotify_artist_id"":null}",publish,/artists/moliy
artist,a34f89e7-6d37-8431-4d30-e0d5ce77df9f,203367,zuchu-h-art-the-band,"Zuchu, H_art the Band",null,null,null,null,"{""id"":1084,""slug"":""zuchu-h_art-the-band"",""gender"":null,""post_id"":203367,""image_url"":null,""created_at"":""2026-04-02 20:51:13"",""updated_at"":""2026-04-02 20:51:13"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Zuchu, H_art the Band"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""h art the band, zuchu"",""spotify_artist_id"":null}",publish,/artists/zuchu-h-art-the-band
artist,792ef23c-8ac1-5ad7-9d04-bf4f86f56fa1,203810,rayvanny,Rayvanny,null,null,null,null,"{""id"":1526,""slug"":""rayvanny"",""gender"":null,""post_id"":203810,""image_url"":null,""created_at"":""2026-04-02 21:04:36"",""updated_at"":""2026-04-02 21:04:36"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Rayvanny"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""rayvanny"",""spotify_artist_id"":null}",publish,/artists/rayvanny
artist,24963c0f-cd4d-aa4f-d69a-61cabd3b11ef,203674,ayrosh-xtatic,"Ayrosh, Xtatic",null,null,null,null,"{""id"":1391,""slug"":""ayrosh-xtatic"",""gender"":null,""post_id"":203674,""image_url"":null,""created_at"":""2026-04-02 20:52:18"",""updated_at"":""2026-04-02 20:52:18"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Ayrosh, Xtatic"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""ayrosh, xtatic"",""spotify_artist_id"":null}",publish,/artists/ayrosh-xtatic
artist,d84b327c-38d9-7143-8941-620c657676c5,203766,ukweli-kasha,"Ukweli, KASHA",null,null,null,null,"{""id"":1483,""slug"":""ukweli-kasha"",""gender"":"""",""post_id"":203766,""image_url"":"""",""created_at"":""2026-04-02 20:52:43"",""updated_at"":""2026-04-02 20:52:43"",""artist_type"":"""",""reviewed_at"":null,""country_iso2"":"""",""display_name"":""Ukweli, KASHA"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""kasha, ukweli"",""spotify_artist_id"":null}",publish,/artists/ukweli-kasha
artist,8ddab7e2-74f1-7c71-730a-4aacb93b3dbe,203300,bridget-blue-toxic-lyrikali,"Bridget Blue, Toxic Lyrikali",null,null,null,null,"{""id"":1017,""slug"":""bridget-blue-toxic-lyrikali"",""gender"":null,""post_id"":203300,""image_url"":null,""created_at"":""2026-04-02 20:50:46"",""updated_at"":""2026-04-02 20:50:46"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Bridget Blue, Toxic Lyrikali"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""bridget blue, toxic lyrikali"",""spotify_artist_id"":null}",publish,/artists/bridget-blue-toxic-lyrikali
artist,fa5f0e21-6588-cc52-4a48-bb2c80f7b76f,203811,jovial,Jovial,null,null,null,null,"{""id"":1527,""slug"":""jovial"",""gender"":null,""post_id"":203811,""image_url"":null,""created_at"":""2026-04-02 21:04:36"",""updated_at"":""2026-04-02 21:04:36"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Jovial"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""jovial"",""spotify_artist_id"":null}",publish,/artists/jovial
artist,c301ae03-5eef-5d0e-7378-0a946d4bcd8b,203812,jinku,Jinku,null,null,null,null,"{""id"":1528,""slug"":""jinku"",""gender"":null,""post_id"":203812,""image_url"":null,""created_at"":""2026-04-02 21:04:36"",""updated_at"":""2026-04-02 21:04:36"",""artist_type"":null,""reviewed_at"":null,""country_iso2"":null,""display_name"":""Jinku"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""jinku"",""spotify_artist_id"":null}",publish,/artists/jinku
artist,acd0275a-642b-2ddd-03cd-fff6906d9b98,202175,2wentysixx,2wentysixx,KE,null,https://i.scdn.co/image/ab6761610000e5eb0b03e080a938020964346d23,https://i.scdn.co/image/ab6761610000e5eb0b03e080a938020964346d23,"{""id"":1,""slug"":""2wentysixx"",""gender"":""male"",""post_id"":202175,""image_url"":""https://i.scdn.co/image/ab6761610000e5eb0b03e080a938020964346d23"",""created_at"":""2026-03-28 15:42:35"",""updated_at"":""2026-04-08 08:27:54"",""artist_type"":""individual"",""reviewed_at"":null,""country_iso2"":""KE"",""display_name"":""2wentysixx"",""status_flags"":null,""apple_artist_id"":null,""normalized_name"":""2wentysixx"",""spotify_artist_id"":null}",publish,/artists/2wentysixx
