entity_type,entity_id,entity_slug,full_slug
artist,1,2wentysixx,2wentysixx
artist,10,addi-chokoch,addi-chokoch
artist,100,dans-tunes,dans-tunes
artist,1000,nyashinski-amani,nyashinski-amani
artist,1001,nyashinski-cedo-karun,nyashinski-cedo-karun
artist,1002,nyashinski-sanaipei-tande,nyashinski-sanaipei-tande
artist,1003,nyashinski-femi-one,nyashinski-femi-one
artist,1004,nyashinski-pam-wyre-abbas-kubaff-jua-cali-nameless,nyashinski-pam-wyre-abbas-kubaff-jua-cali-nameless
artist,1005,khaligraph-jones-lamaz-span-k-o-b,khaligraph-jones-lamaz-span-k-o-b
artist,1006,khaligraph-jones-bien,khaligraph-jones-bien
artist,1007,bien-diamond-platnumz,bien-diamond-platnumz
artist,1008,bien-scar-mkadinali,bien-scar-mkadinali
artist,1009,bien-aaron-rimbui,bien-aaron-rimbui
artist,101,davy-waweru,davy-waweru
artist,1010,wakadinali-sirbwoy-sewersydaa-scar-mkadinali,wakadinali-sirbwoy-sewersydaa-scar-mkadinali
artist,1011,wakadinali-andrew-kibe,wakadinali-andrew-kibe
artist,1012,wakadinali-ares-66,wakadinali-ares-66
artist,1013,wakadinali-sewersydaa,wakadinali-sewersydaa
artist,1014,matata-wakadinali,matata-wakadinali
artist,1015,buruklyn-boyz-wakadinali-khaligraph-jones,buruklyn-boyz-wakadinali-khaligraph-jones
artist,1016,kodongklan-ywaya-tajiri,kodongklan-ywaya-tajiri
artist,1017,bridget-blue-toxic-lyrikali,bridget-blue-toxic-lyrikali
artist,1018,j-blessing-bridget-blue,j-blessing-bridget-blue
artist,1019,kotrell-bridget-blue,kotrell-bridget-blue
artist,102,daya,daya
artist,1020,bahati-prince-indah,bahati-prince-indah
artist,1021,bahati-bruce-melodie,bahati-bruce-melodie
artist,1022,bahati-rayvanny,bahati-rayvanny
artist,1023,bahati-jovial,bahati-jovial
artist,1024,jinku-ciano-maimba,jinku-ciano-maimba
artist,1025,ciano-maimba-m%c2%b3,ciano-maimba-m%c2%b3
artist,1026,wanja-wohoro-tetu-shani,wanja-wohoro-tetu-shani
artist,1027,wanja-wohoro-junior-nyongo,wanja-wohoro-junior-nyongo
artist,1028,wanja-wohoro-jinku,wanja-wohoro-jinku
artist,1029,kato-change-wanja-wohoro,kato-change-wanja-wohoro
artist,103,de-papzo,de-papzo
artist,1030,ea-wave-wanja-wohoro,ea-wave-wanja-wohoro
artist,1031,camp-mulla-just-a-band,camp-mulla-just-a-band
artist,1032,just-a-band-childish-gambino,just-a-band-childish-gambino
artist,1033,njerae-bensoul,njerae-bensoul
artist,1034,savinnah-ndovu-kuu,savinnah-ndovu-kuu
artist,1035,nyashinski-chris-kaiga,nyashinski-chris-kaiga
artist,1036,chris-kaiga-mutoriah,chris-kaiga-mutoriah
artist,1037,chris-kaiga-dai-scar-mkadinali,chris-kaiga-dai-scar-mkadinali
artist,1038,chris-kaiga-tezzla,chris-kaiga-tezzla
artist,1039,big-nyagz-nes-mburu,big-nyagz-nes-mburu
artist,104,deco-shazam,deco-shazam
artist,1040,big-nyagz-onedown-zippie-nyumu,big-nyagz-onedown-zippie-nyumu
artist,1041,dj-mura-k-e-big-nyagz-liboi-yah-listen,dj-mura-k-e-big-nyagz-liboi-yah-listen
artist,1042,the-safari-oontz-collective-big-nyagz-djaypaps-braines-kamushez,the-safari-oontz-collective-big-nyagz-djaypaps-braines-kamushez
artist,1043,dj-mura-k-e-big-nyagz-muringi,dj-mura-k-e-big-nyagz-muringi
artist,1044,the-safari-oontz-collective-onedown-braines-big-nyagz,the-safari-oontz-collective-onedown-braines-big-nyagz
artist,1045,dj-mura-k-e-big-nyagz-coster-ojwang-yah-listen,dj-mura-k-e-big-nyagz-coster-ojwang-yah-listen
artist,1046,dj-mura-k-e-big-nyagz-njiru,dj-mura-k-e-big-nyagz-njiru
artist,1047,dj-mura-k-e-big-nyagz-yah-listen-cucu-wakomu,dj-mura-k-e-big-nyagz-yah-listen-cucu-wakomu
artist,1048,dj-mura-k-e-big-nyagz-udulele,dj-mura-k-e-big-nyagz-udulele
artist,1049,nadia-mukami-arrow-bwoy,nadia-mukami-arrow-bwoy
artist,105,deejavu,deejavu
artist,1050,nadia-mukami-okello-max-prince-indah,nadia-mukami-okello-max-prince-indah
artist,1051,nadia-mukami-bien,nadia-mukami-bien
artist,1052,nadia-mukami-darassa,nadia-mukami-darassa
artist,1053,nadia-mukami-fena-gitu-khaligraph-jones,nadia-mukami-fena-gitu-khaligraph-jones
artist,1054,nadia-mukami-sanaipei-tande,nadia-mukami-sanaipei-tande
artist,1055,nadia-mukami-fathermoh,nadia-mukami-fathermoh
artist,1056,matata-mejja,matata-mejja
artist,1057,exray-taniua-mejja,exray-taniua-mejja
artist,1058,ranzscooby-mejja-scar-mkadinali,ranzscooby-mejja-scar-mkadinali
artist,1059,serro-coster-ojwang-anariko,serro-coster-ojwang-anariko
artist,106,dela-cuffy,dela-cuffy
artist,1060,serro-israel-onyach,serro-israel-onyach
artist,1061,serro-coster-ojwang,serro-coster-ojwang
artist,1062,serro-coster-ojwang-patrick-serro,serro-coster-ojwang-patrick-serro
artist,1063,foozak-tina-ardor,foozak-tina-ardor
artist,1064,dj-tomer-ricardo-gi-tina-ardor-kumkani,dj-tomer-ricardo-gi-tina-ardor-kumkani
artist,1065,tina-ardor-atmos-blaq-hendrick-sam,tina-ardor-atmos-blaq-hendrick-sam
artist,1066,breyth-native-p-tina-ardor,breyth-native-p-tina-ardor
artist,1067,lilocox-tina-ardor,lilocox-tina-ardor
artist,1068,dino-and-terry-tina-ardor,dino-and-terry-tina-ardor
artist,1069,tina-ardor-gumz-kgzoo,tina-ardor-gumz-kgzoo
artist,107,deno,deno
artist,1070,gil-bokobza-tina-ardor,gil-bokobza-tina-ardor
artist,1071,ally-fresh-dj-mura-k-e-tina-ardor,ally-fresh-dj-mura-k-e-tina-ardor
artist,1072,maya-amolo-mau-from-nowhere,maya-amolo-mau-from-nowhere
artist,1073,mau-from-nowhere-hihi,mau-from-nowhere-hihi
artist,1074,mau-from-nowhere-hihi-maya-amolo,mau-from-nowhere-hihi-maya-amolo
artist,1075,chxf-barry-mau-from-nowhere-akeine,chxf-barry-mau-from-nowhere-akeine
artist,1076,mau-from-nowhere-jay-james,mau-from-nowhere-jay-james
artist,1077,turunesh-karun-mau-from-nowhere,turunesh-karun-mau-from-nowhere
artist,1078,h_art-the-band-cedo,h_art-the-band-cedo
artist,1079,h_art-the-band-sauti-sol,h_art-the-band-sauti-sol
artist,108,dexter-in-the-newsagent,dexter-in-the-newsagent
artist,1080,h_art-the-band-bensoul,h_art-the-band-bensoul
artist,1081,h_art-the-band-brizy-annechild,h_art-the-band-brizy-annechild
artist,1082,h_art-the-band-nyashinski,h_art-the-band-nyashinski
artist,1083,h_art-the-band-lady-jaydee,h_art-the-band-lady-jaydee
artist,1084,zuchu-h_art-the-band,zuchu-h_art-the-band
artist,1085,hske-muthoni-drummer-queen-mayonde-polaris-pauline,hske-muthoni-drummer-queen-mayonde-polaris-pauline
artist,1086,blinky-bill-muthoni-drummer-queen-mayonde,blinky-bill-muthoni-drummer-queen-mayonde
artist,1087,mayonde-stonee-jiwe,mayonde-stonee-jiwe
artist,1088,blinky-fena-mayonde-kagwe-mdq,blinky-fena-mayonde-kagwe-mdq
artist,1089,elijah-kitaka-bien-savara,elijah-kitaka-bien-savara
artist,109,diamond-platnumz,diamond-platnumz
artist,1090,savara-nyashinski,savara-nyashinski
artist,1091,savara-wakadinali-fathermoh,savara-wakadinali-fathermoh
artist,1092,king-kaka-scar-mkadinali,king-kaka-scar-mkadinali
artist,1093,king-kaka-kristoff,king-kaka-kristoff
artist,1094,king-kaka-scar-mkadinali-njerae,king-kaka-scar-mkadinali-njerae
artist,1095,king-kaka-okello-max,king-kaka-okello-max
artist,1096,king-kaka-rich-mavoko,king-kaka-rich-mavoko
artist,1097,king-kaka-elani,king-kaka-elani
artist,1098,king-kaka-scar-mkadinali-sewersydaa,king-kaka-scar-mkadinali-sewersydaa
artist,1099,lexsil-otile-brown,lexsil-otile-brown
artist,11,adogo,adogo
artist,110,diaso,diaso
artist,1100,otile-brown-sanaipei,otile-brown-sanaipei
artist,1101,otile-brown-meddy,otile-brown-meddy
artist,1102,otile-brown-jovial,otile-brown-jovial
artist,1103,otile-brown-ruby,otile-brown-ruby
artist,1104,otile-brown-jux,otile-brown-jux
artist,1105,otile-brown-harmonize,otile-brown-harmonize
artist,1106,putumayo-flier,putumayo-flier
artist,1107,sauti-sol-burna-boy,sauti-sol-burna-boy
artist,1108,sauti-sol-patoranking,sauti-sol-patoranking
artist,1109,sauti-sol-nyashinski,sauti-sol-nyashinski
artist,111,dillon-francis,dillon-francis
artist,1110,bensoul-zzero-sufuri,bensoul-zzero-sufuri
artist,1111,bensoul-v-be,bensoul-v-be
artist,1112,bensoul-sauti-sol-nviiri-the-storyteller-mejja,bensoul-sauti-sol-nviiri-the-storyteller-mejja
artist,1113,okello-max-bensoul-amlyoto,okello-max-bensoul-amlyoto
artist,1114,bensoul-bien,bensoul-bien
artist,1115,vic-west-brandy-maina-charisma-malosh,vic-west-brandy-maina-charisma-malosh
artist,1116,charisma-okello-max,charisma-okello-max
artist,1117,charisma-bensoul,charisma-bensoul
artist,1118,charisma-mbithi,charisma-mbithi
artist,1119,charisma-watendawili,charisma-watendawili
artist,112,disney,disney
artist,1120,zowie-kengocha-nge-the-producer,zowie-kengocha-nge-the-producer
artist,1121,mauimoon-la-soulchyld-zowie-kengocha,mauimoon-la-soulchyld-zowie-kengocha
