source,target,status,authorSlug,isPaginated,page,targetExists,policyDecision,confidence,reason,legacyTitle
/author/admin/,/authors/admin,302,admin,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,Magazine | WAKILISHA
/author/frank/,/authors/frank,302,frank,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Frank Njugi, Writer at WAKILISHA | WAKILISHA"
/author/frank/page/2/,/authors/frank,302,frank,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Frank Njugi, Writer at WAKILISHA | Page 2 of 3 | WAKILISHA"
/author/frank/page/3/,/authors/frank,302,frank,true,3,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Frank Njugi, Writer at WAKILISHA | Page 3 of 3 | WAKILISHA"
/author/gatwiri_c/,/authors/gatwiri_c,302,gatwiri_c,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"gatwiri_c, Writer at WAKILISHA | WAKILISHA"
/author/hafare/,/authors/hafare,302,hafare,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,Hafare Segelan | WAKILISHA
/author/hafare/page/2/,/authors/hafare,302,hafare,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,Hafare Segelan | WAKILISHA
/author/james/,/authors/james,302,james,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Muiruri Beautah, Writer at WAKILISHA | WAKILISHA"
/author/james/page/2/,/authors/james,302,james,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Muiruri Beautah, Writer at WAKILISHA | Page 2 of 3 | WAKILISHA"
/author/james/page/3/,/authors/james,302,james,true,3,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Muiruri Beautah, Writer at WAKILISHA | Page 3 of 3 | WAKILISHA"
/author/k_matiri/,/authors/k_matiri,302,k_matiri,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Kambura Matiri, Writer at WAKILISHA | WAKILISHA"
/author/k_matiri/page/2/,/authors/k_matiri,302,k_matiri,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Kambura Matiri, Writer at WAKILISHA | Page 2 of 2 | WAKILISHA"
/author/kendi/,/authors/kendi,302,kendi,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Shalom Kendi Mbae, Writer at WAKILISHA | WAKILISHA"
/author/kendi/page/2/,/authors/kendi,302,kendi,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Shalom Kendi Mbae, Writer at WAKILISHA | Page 2 of 2 | WAKILISHA"
/author/kiuta/,/authors/kiuta,302,kiuta,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Kiuta Faith, Writer at WAKILISHA | WAKILISHA"
/author/michael/,/authors/michael,302,michael,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Michael Mburu, Writer at WAKILISHA | WAKILISHA"
/author/swambi/,/authors/swambi,302,swambi,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Sarah Wambi, Writer at WAKILISHA | WAKILISHA"
/author/timo/,/authors/timo,302,timo,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Timothy Muiruri, Writer at WAKILISHA | WAKILISHA"
/author/vicmuia/,/authors/vicmuia,302,vicmuia,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,Victor Muia | WAKILISHA
/author/wakilishaji/,/authors/wakilishaji,302,wakilishaji,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Wakilisha Staff, Writer at WAKILISHA | WAKILISHA"
/author/wakilishaji/page/2/,/authors/wakilishaji,302,wakilishaji,true,2,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 2 of 8 | WAKILISHA"
/author/wakilishaji/page/3/,/authors/wakilishaji,302,wakilishaji,true,3,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 3 of 8 | WAKILISHA"
/author/wakilishaji/page/4/,/authors/wakilishaji,302,wakilishaji,true,4,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 4 of 8 | WAKILISHA"
/author/wakilishaji/page/5/,/authors/wakilishaji,302,wakilishaji,true,5,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 5 of 8 | WAKILISHA"
/author/wakilishaji/page/6/,/authors/wakilishaji,302,wakilishaji,true,6,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 6 of 8 | WAKILISHA"
/author/wakilishaji/page/7/,/authors/wakilishaji,302,wakilishaji,true,7,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 7 of 8 | WAKILISHA"
/author/wakilishaji/page/8/,/authors/wakilishaji,302,wakilishaji,true,8,false,manual_review_author_mapping,low,Paginated legacy author archive has no confirmed matching React author route.,"Wakilisha Staff, Writer at WAKILISHA | Page 8 of 8 | WAKILISHA"
/author/wangari/,/authors/wangari,302,wangari,false,,false,manual_review_author_mapping,low,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,"Wangari Karume, Writer at WAKILISHA | WAKILISHA"
