blockerType,legacyPath,legacyStatus,auditClassification,cutoverDecision,targetPath,confidence,title,notes
author_archive,/author/admin/,200,preserve_or_map,manual_review,/authors/admin,low,Magazine | WAKILISHA,Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/frank/,200,preserve_or_map,manual_review,/authors/frank,low,"Frank Njugi, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/frank/page/2/,200,preserve_or_map,manual_review,/authors/frank?page=2,low,"Frank Njugi, Writer at WAKILISHA | Page 2 of 3 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/frank/page/3/,200,preserve_or_map,manual_review,/authors/frank?page=3,low,"Frank Njugi, Writer at WAKILISHA | Page 3 of 3 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/gatwiri_c/,200,preserve_or_map,manual_review,/authors/gatwiri_c,low,"gatwiri_c, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/hafare/,200,preserve_or_map,manual_review,/authors/hafare,low,Hafare Segelan | WAKILISHA,Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/hafare/page/2/,200,preserve_or_map,manual_review,/authors/hafare?page=2,low,Hafare Segelan | WAKILISHA,Legacy paginated author archive needs React author pagination decision.
author_archive,/author/james/,200,preserve_or_map,manual_review,/authors/james,low,"Muiruri Beautah, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/james/page/2/,200,preserve_or_map,manual_review,/authors/james?page=2,low,"Muiruri Beautah, Writer at WAKILISHA | Page 2 of 3 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/james/page/3/,200,preserve_or_map,manual_review,/authors/james?page=3,low,"Muiruri Beautah, Writer at WAKILISHA | Page 3 of 3 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/k_matiri/,200,preserve_or_map,manual_review,/authors/k_matiri,low,"Kambura Matiri, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/k_matiri/page/2/,200,preserve_or_map,manual_review,/authors/k_matiri?page=2,low,"Kambura Matiri, Writer at WAKILISHA | Page 2 of 2 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/kendi/,200,preserve_or_map,manual_review,/authors/kendi,low,"Shalom Kendi Mbae, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/kendi/page/2/,200,preserve_or_map,manual_review,/authors/kendi?page=2,low,"Shalom Kendi Mbae, Writer at WAKILISHA | Page 2 of 2 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/kiuta/,200,preserve_or_map,manual_review,/authors/kiuta,low,"Kiuta Faith, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/michael/,200,preserve_or_map,manual_review,/authors/michael,low,"Michael Mburu, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/swambi/,200,preserve_or_map,manual_review,/authors/swambi,low,"Sarah Wambi, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/timo/,200,preserve_or_map,manual_review,/authors/timo,low,"Timothy Muiruri, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/vicmuia/,200,preserve_or_map,manual_review,/authors/vicmuia,low,Victor Muia | WAKILISHA,Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/wakilishaji/,200,preserve_or_map,manual_review,/authors/wakilishaji,low,"Wakilisha Staff, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
author_archive,/author/wakilishaji/page/2/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=2,low,"Wakilisha Staff, Writer at WAKILISHA | Page 2 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/3/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=3,low,"Wakilisha Staff, Writer at WAKILISHA | Page 3 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/4/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=4,low,"Wakilisha Staff, Writer at WAKILISHA | Page 4 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/5/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=5,low,"Wakilisha Staff, Writer at WAKILISHA | Page 5 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/6/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=6,low,"Wakilisha Staff, Writer at WAKILISHA | Page 6 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/7/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=7,low,"Wakilisha Staff, Writer at WAKILISHA | Page 7 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wakilishaji/page/8/,200,preserve_or_map,manual_review,/authors/wakilishaji?page=8,low,"Wakilisha Staff, Writer at WAKILISHA | Page 8 of 8 | WAKILISHA",Legacy paginated author archive needs React author pagination decision.
author_archive,/author/wangari/,200,preserve_or_map,manual_review,/authors/wangari,low,"Wangari Karume, Writer at WAKILISHA | WAKILISHA",Legacy author archive should map to React author profile/archive if supported.
chart_runtime_route,/charts/top-100/ke/2026-01-26/,200,preserve_or_map,manual_review,/charts/top-100/ke/2026-01-26,medium,Magazine | WAKILISHA,"Chart route should be tested against React runtime routing, not only prerender output."
chart_runtime_route,/charts/top-gengetone/ke/2026-01-26/,200,preserve_or_map,manual_review,/charts/top-gengetone/ke/2026-01-26,medium,Magazine | WAKILISHA,"Chart route should be tested against React runtime routing, not only prerender output."
chart_runtime_route,/charts/top-rnb/ke/2026-01-26/,200,preserve_or_map,manual_review,/charts/top-rnb/ke/2026-01-26,medium,Magazine | WAKILISHA,"Chart route should be tested against React runtime routing, not only prerender output."
legacy_article_missing_react_route,/claim-your-name/,200,preserve_or_map,manual_review,/magazine/claim-your-name,low,Claim Your Name | WAKILISHA,"Likely legacy article/page slug. Decide whether to import as magazine article, redirect to new article URL, preserve static HTML, or intentional 404."
legacy_section_archive,/album-reviews/,200,preserve_or_map,manual_review,/magazine,low,Album Reviews | WAKILISHA,"Legacy WordPress section/archive route. Decide whether to rebuild the archive, redirect to a React section, or intentionally retire it."
legacy_section_archive,/art-design/,200,preserve_or_map,manual_review,/magazine,low,Art &amp; Design | WAKILISHA,"Legacy WordPress section/archive route. Decide whether to rebuild the archive, redirect to a React section, or intentionally retire it."
