source,target,status,decision,confidence,title,notes
/10-contemporary-kenyan-artists-you-should-know/,/magazine/10-contemporary-kenyan-artists-you-should-know,302,redirect_to_react_route,high,10 Contemporary Kenyan Artists You Should Know | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/10-kenyan-authors-you-should-read/,/magazine/10-kenyan-authors-you-should-read,302,redirect_to_react_route,high,10 Kenyan Authors You Should Read | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/10-places-in-nairobi-to-explore-art-music-and-design/,/magazine/10-places-in-nairobi-to-explore-art-music-and-design,302,redirect_to_react_route,high,"10 Places in Nairobi to Explore Art, Music and Design | WAKILISHA",Legacy article/page slug has a matching React magazine route.
/15-fatoumata-diawara-songs/,/magazine/15-fatoumata-diawara-songs,302,redirect_to_react_route,high,15 Fatoumata Diawara Songs to Improve Your Week | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/15-things-to-do-home-5-months/,/magazine/15-things-to-do-home-5-months,302,redirect_to_react_route,high,15 Things To Do At Home When Life is Disrupted for 5 Months | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2021-visual-trends/,/magazine/2021-visual-trends,302,redirect_to_react_route,high,2021 Visual Trends | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2022-nyege-nyege-festival-officially-announced/,/magazine/2022-nyege-nyege-festival-officially-announced,302,redirect_to_react_route,high,2022 Nyege Nyege Festival Officially Announced | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2023-trends-to-take-note-of/,/magazine/2023-trends-to-take-note-of,302,redirect_to_react_route,high,2023 Trends to Take Note of | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/4-tips-for-diversifying-your-diet-on-a-budget/,/magazine/4-tips-for-diversifying-your-diet-on-a-budget,302,redirect_to_react_route,high,4 Tips for Diversifying your Diet on a Budget | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/5-cultural-destinations-worth-visiting-in-nairobi/,/magazine/5-cultural-destinations-worth-visiting-in-nairobi,302,redirect_to_react_route,high,5 Cultural Destinations Worth Visiting In Nairobi | WAKILISHA,Legacy article/page slug has a matching React magazine route.
