source,target,status,tagSlug,decodedTagSlug,tagLabel,isPaginated,page,confidence,reason,title
/tag/2026/,/search?tag=2026,302,2026,2026,2026,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,2026 | WAKILISHA
/tag/4mr-frank-white/,/search?tag=4mr%20frank%20white,302,4mr-frank-white,4mr-frank-white,4mr frank white,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,4mr Frank White | WAKILISHA
/tag/60-nozzles/,/search?tag=60%20nozzles,302,60-nozzles,60-nozzles,60 nozzles,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,60 Nozzles | WAKILISHA
/tag/8-4-4/,/search?tag=8%204%204,302,8-4-4,8-4-4,8 4 4,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,8-4-4 | WAKILISHA
/tag/8th-street-gang/,/search?tag=8th%20street%20gang,302,8th-street-gang,8th-street-gang,8th street gang,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,8th Street Gang | WAKILISHA
/tag/a-grain-of-wheat/,/search?tag=a%20grain%20of%20wheat,302,a-grain-of-wheat,a-grain-of-wheat,a grain of wheat,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,A Grain of Wheat | WAKILISHA
/tag/a-nurse-toto/,/search?tag=a%20nurse%20toto,302,a-nurse-toto,a-nurse-toto,a nurse toto,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,A Nurse Toto | WAKILISHA
/tag/aahil/,/search?tag=aahil,302,aahil,aahil,aahil,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Aahil | WAKILISHA
/tag/aaron-rimbui/,/search?tag=aaron%20rimbui,302,aaron-rimbui,aaron-rimbui,aaron rimbui,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Aaron Rimbui | WAKILISHA
/tag/ababu-namwamba/,/search?tag=ababu%20namwamba,302,ababu-namwamba,ababu-namwamba,ababu namwamba,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Ababu Namwamba | WAKILISHA
/tag/abubakar-majid/,/search?tag=abubakar%20majid,302,abubakar-majid,abubakar-majid,abubakar majid,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Abubakar Majid | WAKILISHA
/tag/accessibility/,/search?tag=accessibility,302,accessibility,accessibility,accessibility,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Accessibility | WAKILISHA
/tag/across-the-bridge/,/search?tag=across%20the%20bridge,302,across-the-bridge,across-the-bridge,across the bridge,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Across The Bridge | WAKILISHA
/tag/act-of-love/,/search?tag=act%20of%20love,302,act-of-love,act-of-love,act of love,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Act Of Love | WAKILISHA
/tag/ado-veli/,/search?tag=ado%20veli,302,ado-veli,ado-veli,ado veli,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Ado Veli | WAKILISHA
/tag/adobe/,/search?tag=adobe,302,adobe,adobe,adobe,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Adobe | WAKILISHA
/tag/afcfta/,/search?tag=afcfta,302,afcfta,afcfta,afcfta,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,AfCFTA | WAKILISHA
/tag/affordable-art-show/,/search?tag=affordable%20art%20show,302,affordable-art-show,affordable-art-show,affordable art show,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Affordable Art Show | WAKILISHA
/tag/africa/,/search?tag=africa,302,africa,africa,africa,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,Africa | WAKILISHA
/tag/african-continental-free-trade-area/,/search?tag=african%20continental%20free%20trade%20area,302,african-continental-free-trade-area,african-continental-free-trade-area,african continental free trade area,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,African Continental Free Trade Area | WAKILISHA
/tag/african-fiction/,/search?tag=african%20fiction,302,african-fiction,african-fiction,african fiction,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,African Fiction | WAKILISHA
/tag/african-music/,/search?tag=african%20music,302,african-music,african-music,african music,false,,medium,Legacy WordPress tag archive can redirect to React search filtered by tag.,African Music | WAKILISHA
